Isoforms,Max Attention Score,Entropy Ratio,Status
ENSMUST00000001455.13,0.24889807403087616,0.8992290902405593,Val
ENSMUST00000001304.9,0.188385471701622,0.8887765866603958,Sus
ENSMUST00000001051.9,0.165598526597023,0.8847161622648503,Sus
ENSMUST00000001092.15,0.1866116225719452,0.8807050108987771,Val
ENSMUST00000001347.7,0.21928469836711884,0.8838462740167862,Sus
ENSMUST00000001126.4,0.16325876116752625,0.8869908907964872,Sus
ENSMUST00000000767.6,0.20624421536922455,0.8882950352379799,Val
ENSMUST00000000206.4,0.16640229523181915,0.884811182679452,Sus
ENSMUST00000002360.17,0.21776340901851654,0.8831770035309536,Sus
ENSMUST00000001884.14,0.2740088701248169,0.8840523952238453,Val
ENSMUST00000001439.7,0.16900013387203217,0.8812161433371413,Sus
ENSMUST00000002079.7,0.22023111581802368,0.9108225267265466,Flat
ENSMUST00000000619.8,0.19369453191757202,0.894389928401907,Val
ENSMUST00000001148.11,0.16433267295360565,0.8938982300030902,Sus
ENSMUST00000001927.12,0.18662923574447632,0.8896678007571669,Val
ENSMUST00000002603.12,0.18246762454509735,0.8892913307344281,Val
ENSMUST00000003640.4,0.22709839046001434,0.8879234667207908,Val
ENSMUST00000003442.9,0.1827159821987152,0.8854414131035387,Sus
ENSMUST00000002677.11,0.19017037749290466,0.8831636748755117,Val
ENSMUST00000003860.13,0.16662046313285828,0.8954817602609095,Sus
ENSMUST00000002979.16,0.23637616634368896,0.8929084698473747,Val
ENSMUST00000002817.12,0.18740397691726685,0.8862200645553201,Sus
ENSMUST00000003468.10,0.17754846811294556,0.8811790810758804,Val
ENSMUST00000002976.5,0.22693131864070892,0.8889287913064093,Val
ENSMUST00000003038.12,0.23937401175498962,0.8809610070745864,Val
ENSMUST00000005671.10,0.16258394718170166,0.9381795490253173,Flat
ENSMUST00000005815.7,0.21189260482788086,0.8766267003075418,Val
ENSMUST00000015800.16,0.18186193704605103,0.8870563301951405,Val
ENSMUST00000006750.8,0.21335875988006592,0.8836466881504599,Sus
ENSMUST00000015920.12,0.1737106442451477,0.900863527363034,Flat
ENSMUST00000009693.15,0.19490933418273926,0.8946953695898393,Sus
ENSMUST00000005256.14,0.16807834804058075,0.8820967805008842,Sus
ENSMUST00000016530.14,0.18120554089546204,0.8871062051638907,Sus
ENSMUST00000005532.9,0.240315243601799,0.8812802068745876,Val
ENSMUST00000004634.7,0.24792221188545227,0.8803977638930106,Val
ENSMUST00000009727.12,0.20604436099529266,0.8941152721084791,Val
ENSMUST00000010804.4,0.2263588309288025,0.8864776085749871,Sus
ENSMUST00000004326.4,0.18142348527908325,0.8880523677176125,Val
ENSMUST00000006435.8,0.23253504931926727,0.8876253347955202,Val
ENSMUST00000010319.14,0.17582616209983826,0.8984081310566656,Sus
ENSMUST00000007266.14,0.16840432584285736,0.8895624613835134,Val
ENSMUST00000016768.12,0.1850031614303589,0.8896750240285031,Sus
ENSMUST00000005722.14,0.19863852858543396,0.9006136365713303,Flat
ENSMUST00000014505.5,0.20341293513774872,0.8822924107662408,Val
ENSMUST00000009728.13,0.1678103655576706,0.8897079587061433,Val
ENSMUST00000013559.3,0.1944088190793991,0.9297343409546991,Flat
ENSMUST00000008633.15,0.24766525626182556,0.8970554875076296,Val
ENSMUST00000005578.13,0.19808952510356903,0.9029529445883663,Flat
ENSMUST00000005406.12,0.22977882623672485,0.8855151936607589,Val
ENSMUST00000014990.13,0.16881684958934784,0.8872200576787619,Sus
ENSMUST00000009705.14,0.21817243099212646,0.894194986067154,Val
ENSMUST00000006523.12,0.22213733196258545,0.8728530569823101,Sus
ENSMUST00000010753.14,0.16277502477169037,0.8907907614759756,Sus
ENSMUST00000014917.8,0.18893343210220337,0.8895995236447743,Val
ENSMUST00000004673.15,0.16716746985912323,0.8867851995460553,Sus
ENSMUST00000004745.9,0.16872549057006836,0.8836396368617746,Sus
ENSMUST00000005829.13,0.20388063788414001,0.8804484987750152,Sus
ENSMUST00000022682.6,0.17554573714733124,0.8908981646414393,Sus
ENSMUST00000018887.15,0.20414987206459045,0.9249302635768228,Flat
ENSMUST00000020420.9,0.19794701039791107,0.8879466843786573,Val
